T,v,p
220,0.0015000000000000005,24432.639622710667
220,0.0015759966380137665,24432.639622710667
220,0.0016558436020204612,24432.639622710667
220,0.001739735966573901,24432.639622710667
220,0.0018278786895680652,24432.639622710667
220,0.0019204871129708527,24432.639622710667
220,0.0020177874889272165,24432.639622710667
220,0.002120017532517022,24432.639622710667
220,0.002227427002518044,24432.639622710667
220,0.00234027831159301,24432.639622710667
220,0.002458847167391411,24432.639622710667
220,0.002583423246132357,24432.639622710667
220,0.002714310900314134,24432.639622710667
220,0.0028518299022794627,24432.639622710667
220,0.00299631622545304,24432.639622710667
220,0.003148122865160059,24432.639622710667
220,0.003307620701031009,24432.639622710667
220,0.0034751994030997376,24432.639622710667
220,0.003651268383808422,24432.639622710667
220,0.003836257798245354,24432.639622710667
220,0.0040306195950591765,24432.639622710667
220,0.004234828620617113,24432.639622710667
220,0.004449383779104696,24432.639622710667
220,0.00467480925140132,24432.639622710667
220,0.00491165577570942,24432.639622710667
220,0.005160501993065962,24432.639622710667
220,0.005421955861023525,24432.639622710667
220,0.00569665613895474,24432.639622710667
220,0.005985273948608768,24432.639622710667
220,0.006288514413732525,24432.639622710667
220,0.0066071183827623794,24432.639622710667
220,0.006941864238794974,24432.639622710667
220,0.007293569801259248,24432.639622710667
220,0.007663094323935538,24432.639622710667
220,0.00805134059420318,24432.639622710667
220,0.008459257138645314,24432.639622710667
220,0.00888784054039931,24432.639622710667
220,0.009338137873914501,24432.639622710667
220,0.009811249263065515,24432.639622710667
220,0.010308330568870861,24432.639622710667
220,0.010830596213383335,24432.639622710667
220,0.011379322146651168,24432.639622710667
220,0.011955848963998556,24432.639622710667
220,0.012561585181241388,24432.639622710667
220,0.013198010675839976,24432.639622710667
220,0.01386668030239573,24432.639622710667
220,0.014569227691324923,24432.639622710667
220,0.015307369239990086,24432.639622710667
220,0.0160829083060398,24432.639622710667
220,0.016897739613201603,24432.639622710667
220,0.017753853880291832,24432.639622710667
220,0.018653342684751724,24432.639622710667
220,0.019598403572591586,24432.639622710667
220,0.02059134542722754,24432.639622710667
220,0.021634594110327157,24432.639622710667
220,0.02273069838844534,24432.639622710667
220,0.023882336159929858,24432.639622710667
220,0.025092320997309354,24432.639622710667
220,0.026363609021147837,24432.639622710667
220,0.027699306122158925,24432.639622710667
220,0.029102675549224383,24432.639622710667
220,0.030577145881855373,24432.639622710667
220,0.03212631940657368,24432.639622710667
220,0.03375398091767769,24432.639622710667
220,0.035464106963893884,24432.639622710667
220,0.03726087556350488,24432.639622710667
220,0.039148676411688656,24432.639622710667
220,0.04113212160500675,24432.639622710667
220,0.043216056909242684,24432.639622710667
220,0.045405573598118684,24432.639622710667
220,0.047706020891814443,24432.639622710667
220,0.05012301902567601,24432.639622710667
220,0.05266247298104359,24432.639622710667
220,0.05533058691174367,24432.639622710667
220,0.05813387930149098,24432.639622710667
220,0.0610791988892319,24432.639622710667
220,0.06417374140133572,24432.639622710667
220,0.06742506713151325,24432.639622710667
220,0.07084111941141158,24432.639622710667
220,0.07443024401701089,24432.639622710667
220,0.0782012095582356,24432.639622710667
220,0.08216322890159282,24432.639622710667
220,0.08632598167817719,24432.639622710667
220,0.0906996379320301,24432.639622710667
220,0.09529488296663015,24432.639622710667
220,0.10012294345021629,24432.639622710667
220,0.10519561484372214,24432.639622710667
220,0.11052529021833142,24432.639622710667
220,0.11612499053305735,24432.639622710667
220,0.1220083964463192,24432.639622710667
220,0.12818988173923312,24432.639622710667
220,0.13468454843227573,24432.639622710667
220,0.14150826368111252,24432.639622710667
220,0.1486776985417325,24432.639622710667
220,0.15621036869959642,24432.639622710667
220,0.1641246772623032,24432.639622710667
220,0.17243995972032267,24432.639622710667
220,0.1811765311856385,24432.639622710667
220,0.19035573602370837,24432.639622710667
220,0.2,24432.639622710667
222,0.0015000000000000005,27529.40113888845
222,0.0015759966380137665,27529.40113888845
222,0.0016558436020204612,27529.40113888845
222,0.001739735966573901,27529.40113888845
222,0.0018278786895680652,27529.40113888845
222,0.0019204871129708527,27529.40113888845
222,0.0020177874889272165,27529.40113888845
222,0.002120017532517022,27529.40113888845
222,0.002227427002518044,27529.40113888845
222,0.00234027831159301,27529.40113888845
222,0.002458847167391411,27529.40113888845
222,0.002583423246132357,27529.40113888845
222,0.002714310900314134,27529.40113888845
222,0.0028518299022794627,27529.40113888845
222,0.00299631622545304,27529.40113888845
222,0.003148122865160059,27529.40113888845
222,0.003307620701031009,27529.40113888845
222,0.0034751994030997376,27529.40113888845
222,0.003651268383808422,27529.40113888845
222,0.003836257798245354,27529.40113888845
